country,code_2,code_3,total_fixed_broadband_suscriptions_per_100_inhabitants,total_fixed_broadband_suscriptions,total_mobile_broadband_subscriptions_per_100_inhabitants,total_mobile_broadband_subscriptions,mobile_data_usage_per_mobile_broadband_subscription_gb_per_month,long_term_unemployment_rate_percentage,personal_earnings_us_dollar,educational_attainment_percentage,years_in_education_years,life_expectancy_years,life_satisfaction_average_score,packages_measured,average_cost_of_a_fixed_line_broadband_package_per_month_in_usd,average_cost_of_fixed_line_broadband_per_megabit_per_month_in_usd,ppp_usd,avg_connection_speed_mb_s,urban_population_percent
Australia,AU,AUS,33.719,8427316,129.109,32268000,3.39,1.31,49126,81,21,82.5,7.3,31,48.350049999999996,1.7346073871670027,53349,11.1,86.2
Austria,AT,AUT,28.53,2521379,88.478,7819399,16.4,1.84,50349,85,17,81.7,7.1,16,35.991152437500006,0.5569662915312499,50868,14.1,58.7
Belgium,BE,BEL,39.406,4502950,76.105,8696567,2.01,3.54,49675,77,19.3,81.5,6.9,16,44.389551749999995,0.9354194779944196,52080,16.3,98.1
Canada,CA,CAN,38.642,14320220,76.426,28322886,2.46,0.77,47622,91,17.3,81.9,7.4,36,34.86068025000001,0.7902393075408984,48849,16.2,81.6
Chile,CL,CHL,17.318,3250678,91.378,17151624,6.62,NA,25879,65,17.5,79.9,6.5,21,33.98792736,0.19258046895371433,27125,9.3,87.7
Colombia,CO,COL,13.426,6690790,52.137,25982322,1.62,0.79,NA,54,14.1,76.2,6.3,21,25.0509987,1.03759768425,NA,5.5,81.4
Czech Republic,CZ,CZE,30.249,3214401,88.306,9383700,3.39,1.04,25372,94,17.9,79.1,6.7,17,22.383430895,0.36630639645009805,NA,16.9,74.1
Denmark,DK,DNK,43.258,2506369,138.985,8052804,7.64,1.31,51466,81,19.5,80.9,7.6,34,48.22898408333334,3.141615146009601,55253,20.1,88.1
Estonia,EE,EST,31.964,421640,148.807,1962917,9.82,1.92,24336,89,17.7,77.8,5.7,10,28.932045074999994,0.5406191079299999,26898,11.6,69.2
Finland,FI,FIN,31.489,1737000,154.635,8530000,19.39,2.13,42964,88,19.8,81.5,7.6,10,43.851608999999996,0.3548418777,44111,20.5,85.5
France,FR,FRA,43.251,29097000,88.513,59546000,5.64,4,43755,78,16.5,82.4,6.5,19,27.813495149999994,0.4930919359496371,44510,10.8,81
Germany,DE,DEU,41.194,34152033,82.78,68629783,2.55,1.57,47585,87,18.1,81.1,7,41,28.7400551625,0.4991539936405488,49813,15.3,77.5
Greece,GR,GRC,36.939,3964602,79.789,8563686,1.53,15.65,26064,73,19,81.5,5.4,20,40.55902837499999,0.8733218435468749,26671,7.9,79.7
Hungary,HU,HUN,31.502,3079549,67.334,6582271,3.59,1.72,22576,84,16.4,76.2,5.6,16,16.914087967999997,0.22217521298688747,24455,14.8,71.9
Iceland,IS,ISL,38.717,136556,119.407,421148,7.79,0.26,61787,77,19,82.3,7.5,13,64.70722274,0.38968089896732605,66504,NA,93.9
Ireland,IE,IRL,29.423,1430160,102.857,4999569,6.77,3.23,47653,82,18.1,81.8,7,15,57.318727499999994,0.44363089501083325,47952,15.6,63.7
Israel,IL,ISR,27.413,2434574,99.966,8878000,NA,0.49,35067,87,15.6,82.5,7.2,26,19.897688700000003,0.4404369291192308,37251,13.7,92.6
Italy,IT,ITA,28.25,17069025,90.192,54495633,4.27,6.59,36658,61,16.6,83.3,6,15,33.27825149999999,0.76951634502,38485,9.2,71
Japan,JP,JPN,31.689,40068011,172.282,217838561,4.32,1.03,40863,NA,16.4,84.1,5.9,32,40.327526250000005,2.308928056340192,40573,20.2,91.8
"Korea, Republic of",KR,KOR,41.246,21285858,112.659,58139684,6.49,0.05,35191,88,17.3,82.4,5.9,18,25.523535368008336,0.19515812392924675,NA,NA,NA
Latvia,LV,LVA,27.309,526048,130.376,2511441,12.78,3.35,23683,88,18,74.7,5.9,16,16.5537969,0.20335971124531252,25586,16.6,68.3
Lithuania,LT,LTU,28.154,788743,98.544,2760705,9.93,2.69,24287,93,18.4,74.8,5.9,18,11.143762312499998,0.06407242100499846,26429,14.2,68
Luxembourg,LU,LUX,36.827,224200,93.298,568000,3.99,2.35,63062,77,15.1,82.8,6.9,32,48.163498387499985,0.889837474070548,65449,11.6,91.5
Mexico,MX,MEX,14.737,18359572,70.87,88290836,2.11,0.07,15314,38,15.2,75.4,6.5,15,33.149063999999996,0.4143633,16298,7.5,80.7
Netherlands,NL,NLD,42.978,7406000,116.237,20030000,2.58,1.97,52877,78,18.7,81.6,7.4,18,42.432553125,0.3422428875,54262,17.4,92.2
New Zealand,NZ,NZL,33.762,1662090,95.581,4705470,2.42,0.74,40043,79,17.7,81.7,7.3,36,53.99546455,0.467249325,42325,14.7,86.7
Norway,NO,NOR,41.523,2206519,99.626,5294119,4.84,0.66,51212,82,18.3,82.5,7.6,29,70.97143750000001,1.0178662666666667,50956,23.5,83
Poland,PL,POL,20.204,7761110,108.386,41634464,6.48,1.52,27046,92,17.6,78,6.1,38,15.782790529333333,0.0365188306,29109,12.6,60
Portugal,PT,PRT,36.802,3784684,73.645,7573471,2.64,4.43,25367,48,16.9,81.2,5.4,13,49.41653399999999,0.197545562625,25487,12.9,66.3
Slovakia,SK,SVK,27.69,1507998,86.093,4688623,1.03,4.78,24328,91,15.8,77.3,6.2,25,18.540475125,0.40438454999999995,NA,NA,NA
Slovenia,SI,SVN,29.361,608352,77.89,1613879,4.72,3.17,34933,88,18.3,81.3,5.9,13,31.163579999999996,1.8920744999999997,37322,13.7,55.1
Spain,ES,ESP,32.007,14956581,98.4,45981148,2.83,7.66,38507,59,17.9,83.4,6.3,20,39.3848292,0.2343579743275,38761,15.5,80.8
Sweden,SE,SWE,39.052,3973622,124.428,12660775,7.32,1.12,42393,83,19.3,82.4,7.3,12,39.596925562500005,0.115722780125,50569,22.5,88
Switzerland,CH,CHE,46.243,3937283,99.585,8478927,6.09,1.82,62283,88,17.5,83.7,7.5,28,72.09632995833334,2.246497227020833,64109,21.7,73.9
Turkey,TR,TUR,16.469,13407226,75.046,61092863,4.43,2.39,NA,39,18.3,78,5.5,34,13.610166,0.56709025,NA,7.6,76.1
United Kingdom,GB,GBR,40.018,26586110,99.585,66160380,3.36,1.13,43732,81,17.5,81.2,6.8,36,35.711330849999996,1.0749462235463025,39600,16.9,83.9
United States,US,USA,33.859,110865000,144.658,473663101,5.39,0.66,60558,91,17.2,78.6,6.9,27,50,0.25989999999999996,63093,18.7,82.7
